at_hamevel_0at;Hamevel Av Aurorane;;;;;;;;;;;;;x
at_hamevel_0at_desc;The Hamevel Av Aurorane is is the hall of homes for Aurorans who have come to live an serve in the Ayleid tribe. Where as others might think of this site as a barracks for bound Daedra, the Ayleids who host the Aurorans see it as a Diasperia for guests.;;;;;;;;;;;;;x
at_shrine_0at;Wild Elf Shrine;;;;;;;;;;;;;x
at_shrine_0at_desc;The Ayleid people, though their custom vary from tribe to tribe, still keep in the ways of their Mythic ancestors and retain the services of bound Daedra, and it is not uncommon to see such forces joining tribal hosts.;;;;;;;;;;;;;x
at_shrine_1at;Wild Elf Altar;;;;;;;;;;;;;x
at_shrine_1at_desc;A step above shrines to favorite patrons, these Altars assists the Wild Elf tribe in actively parlaying with Daedra for their service, serving as a ritual space and as dedicated housing for practioners and Daedra alike.;;;;;;;;;;;;;x
at_shrine_2at;Wild Elf Ritual Site;;;;;;;;;;;;;x
at_shrine_2at_desc;In addition to a substantial investment from the tribe, many members have come forth and contributed ancestral relics from the Merethic Erac to aid as implements to further bridge the gulf between Mundus and Oblivion to summon forth servants of the tribe's Patron in return for sacrificed prisioners and other offerings.;;;;;;;;;;;;;x
at_shrine_3at;Wild Elf Soul Labyrinth;;;;;;;;;;;;;x
at_shrine_3at_desc;Among some of the treasures brought forth from tribal members and some baubles purchased from the spoils of war were the components for Soul Labyrinths. With the aid of crude starlight wells capturing the power of Aetherius, more ritauls take place as a brisker pace than ever before.;;;;;;;;;;;;;x
atm_shrine_0atm;Shrine to Merid-Nunda;;;;;;;;;;;;;x
atm_shrine_0atm_desc;Ayleid tribes that still yet serve Merid-nunda above all others frequently enjoy her patronage in the form of her infamous Aurorans.;;;;;;;;;;;;;x
atm_shrine_1atm;Altar of Merid-Nunda;;;;;;;;;;;;;x
atm_shrine_1atm_desc;.Descriptions are cool yo!;;;;;;;;;;;;;x
atm_shrine_2atm;Ritual site of Merid-Nunda;;;;;;;;;;;;;x
atm_shrine_3atm;Jew-Jew-Pit;;;;;;;;;;;;;x
atw_twyll_0atw;Cermonial Light Pool;;;;;;;;;;;;;x
atw_twyll_0atw_desc;Mer are known for their reverance of light as the most sacred of elements and the Ayleids are no exception. Despite the tribal setting, members of the tribe gather together to maintain a clearing filled with an enchanted pool that shines pure and bright.;;;;;;;;;;;;;x
atw_twyll_1atw;Cermonial Light Basin;;;;;;;;;;;;;x
atw_twyll_1atw_desc;Stone has been quarried to create reflection pools of pure light at considerable expense in a sacred grove that is of special significance to the tribe. The previous clearning has been expanded and leveled out, and new crude but albiet reliable masonry has been put in place to properly irrigate the area to prevent anything but magically created luminious substance from collecting in the large reflection pool.Many of the tribe derive great satifcation from the grove, and bystanders bystanders have taken up arms to defend the grove,and the tribe.;;;;;;;;;;;;;x
atw_twyll_2atw;Cermonial Twyll;;;;;;;;;;;;;x
atw_twyll_2atw_desc; The the reflection pool has been endowed with a well reminicient of the wells that were built in the Heartlands in Merthic days! Built on a raised dias in the center of the light basin, this ceremonial monument gathers magic from Aetherius with the aid of enchanted metoric glass and iron donated by wizend members of the tribe. Through enchantments, though only half remembered, the well 2effectivly pulls in magic from Atherius and release light into the sky at night, all the while sustaining the enchanted light that resides in the basin.;;;;;;;;;;;;;x
atw_twyll_3atw;Nau Lattialatta Twyll;;;;;;;;;;;;;x
atw_twyll_3atw_desc;The centerpiece of the monument has been refurbished to make better use of metoric components and now resembles, if not curdely, a Twyllvarlais of old. Much like it's apperance, it's capacity is likewise similar and it can now actively channel magicka for purposes other than maintaining itself.;;;;;;;;;;;;;x
